asin,title,brand,price_inr,mrp_inr,rating,review_count,sponsored,badge,search_query
B0BSNQ2WTD,mcaffeine,Tan Removal,219.0,219.0,4.0,150.0,False,,bombay shaving company body wash
B00MP7L6BI,Dove,Moisturizing,1538.0,384.0,4.1,141.0,False,,dove men care body wash
B00MP7L93I,"Dove Men + Care Body and Face Wash Clean Comfort, 18 OZ",2% off coupon appliedSave 2%with coupon,2690.0,505.0,4.5,139.0,False,,dove men care body wash
B0BKPQNB9G,The Man Company,Detoxifying,188.0,94.0,4.2,133.0,False,,ustraa body wash
B0C89VGN9G,The Man Company,Hydrating,328.0,82.0,4.2,133.0,False,,the man company body wash
B07V4PZ8KG,Nivea,Cleansing,289.0,448.0,4.5,132.0,False,,nivea men body wash
B0DGKZ3CZQ,BEARDO,Save extra with Cashback,691.0,276.0,4.3,131.0,False,,beardo body wash
B0CJ5525TB,Muuchstac,Hydrating,118.0,64.0,3.8,130.0,False,,ustraa body wash
B0DM656SPD,St. D’vence Summer Blend Salicylic Acid Body Wash Shower Gel for Women & Men with Fresh Banana & Passionfruit | Tan Removal Body Wash for Winter | Paraben & SLS Free - 700 ml,Up to 5% back with Amazon Pay ICICI card,699.0,99.0,4.2,130.0,False,,ustraa body wash
B0FKZFS9YG,Dermalist,Up to 5% back with Amazon Pay ICICI card,319.0,130.0,4.1,130.0,False,,the man company body wash
B0DLBHR6Q5,Mamaearth,Up to 5% back with Amazon Pay ICICI card,298.0,59.0,4.2,128.0,False,,bombay shaving company body wash
B0BHTSB7P5,AXE,"Moisturizing,Nourishing",152.0,38.0,4.4,126.0,False,,beardo body wash
B0BHTRRTPC,Vaseline,Hydrating,660.0,66.0,4.4,125.0,False,,nivea men body wash
B07PVSWLQG,NIVEA,Moisturizing,320.0,128.0,4.2,121.0,False,,nivea men body wash
B09XF7FZZX,MAN ARDEN,Luxury Body Wash,649.0,259.0,4.3,118.0,False,,the man company body wash
B09YCM729J,MAN ARDEN,"Cleansing,Nourishing",499.0,199.0,4.3,118.0,False,,ustraa body wash
B0FQWB6T63,Skin Elements,Long lasting freshness,349.0,349.0,4.3,118.0,False,Limited time deal,the man company body wash
B0DKXBKV4R,BEARDO,"Tue, 17 Mar",170.0,85.0,4.2,116.0,False,,fiama men body wash
B07V7ZMGFH,Fiama,Moisturizing,216.0,407.0,4.5,115.0,False,,fiama men body wash
B0CCYVW9PW,Bombay Shaving Company,Anti-Aging,299.0,119.0,4.0,110.0,False,,the man company body wash
B09KXS2WJS,MAN CODE,2% off coupon appliedSave 2%with coupon,199.0,44.0,4.1,108.0,False,,the man company body wash
B0F3DHRJKS,BELLAVITA,Up to 5% back with Amazon Pay ICICI card,289.0,115.0,4.4,106.0,False,,ustraa body wash
B0F37X1Q9N,BELLAVITA,No featured offers available,,,4.4,106.0,False,,bombay shaving company body wash
B07V6X44DT,Fiama,Smoothening,387.0,948.0,4.4,104.0,False,,fiama men body wash
B0DG5LSTH7,BEARDO,Up to 5% back with Amazon Pay ICICI card,612.0,696.0,4.5,98.0,False,,beardo body wash
B002TSA91G,Dove,Moisturizing,7914.0,495.0,4.1,96.0,False,,dove men care body wash
B0F84DVFH4,BEARDO,Save extra with Cashback,207.0,103.0,4.7,95.0,False,,beardo body wash
B0FVW7G3BH,mcaffeine,2% off coupon appliedSave 2%with coupon,698.0,116.0,4.4,86.0,False,,nivea men body wash
B07S8N2TSV,Fiama,Moisturizing,190.0,347.0,4.3,82.0,False,,fiama men body wash
B08FJDYVZQ,BEARDO,Save extra with Cashback,728.0,242.0,4.1,82.0,False,,beardo body wash
B0FDQYW6V4,The Body Shop,Relaxing,336.0,395.0,4.5,82.0,False,,beardo body wash
B0CVWVLV29,Forest Essentials,Up to 5% back with Amazon Pay ICICI card,475.0,47500.0,4.2,81.0,False,,old spice body wash
B07Q15ZHY5,NIVEA,Moisturizing,,,3.6,81.0,False,,nivea men body wash
